CD1, CD2, CD12, DESCRIPTION1, DESCRIPTION2, DESCRIPTION3
F1699,,F1699,"Hallucinogen use, unsp w unsp hallucinogen-induced disorder","Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder","Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
F1720,0,F17200,"Nicotine dependence, unspecified, uncomplicated","Nicotine dependence, unspecified, uncomplicated","Nicotine dependence, unspecified"
F1720,1,F17201,"Nicotine dependence, unspecified, in remission","Nicotine dependence, unspecified, in remission","Nicotine dependence, unspecified"
F1720,3,F17203,"Nicotine dependence unspecified, with withdrawal","Nicotine dependence unspecified, with withdrawal","Nicotine dependence, unspecified"
F1720,8,F17208,"Nicotine dependence, unsp, w oth nicotine-induced disorders","Nicotine dependence, unspecified, with other nicotine-induced disorders","Nicotine dependence, unspecified"
F1720,9,F17209,"Nicotine dependence, unsp, w unsp nicotine-induced disorders","Nicotine dependence, unspecified, with unspecified nicotine-induced disorders","Nicotine dependence, unspecified"
F1721,0,F17210,"Nicotine dependence, cigarettes, uncomplicated","Nicotine dependence, cigarettes, uncomplicated","Nicotine dependence, cigarettes"
F1721,1,F17211,"Nicotine dependence, cigarettes, in remission","Nicotine dependence, cigarettes, in remission","Nicotine dependence, cigarettes"
F1721,3,F17213,"Nicotine dependence, cigarettes, with withdrawal","Nicotine dependence, cigarettes, with withdrawal","Nicotine dependence, cigarettes"
F1721,8,F17218,"Nicotine dependence, cigarettes, w oth disorders","Nicotine dependence, cigarettes, with other nicotine-induced disorders","Nicotine dependence, cigarettes"
F1721,9,F17219,"Nicotine dependence, cigarettes, w unsp disorders","Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders","Nicotine dependence, cigarettes"
F1722,0,F17220,"Nicotine dependence, chewing tobacco, uncomplicated","Nicotine dependence, chewing tobacco, uncomplicated","Nicotine dependence, chewing tobacco"
F1722,1,F17221,"Nicotine dependence, chewing tobacco, in remission","Nicotine dependence, chewing tobacco, in remission","Nicotine dependence, chewing tobacco"
F1722,3,F17223,"Nicotine dependence, chewing tobacco, with withdrawal","Nicotine dependence, chewing tobacco, with withdrawal","Nicotine dependence, chewing tobacco"
F1722,8,F17228,"Nicotine dependence, chewing tobacco, w oth disorders","Nicotine dependence, chewing tobacco, with other nicotine-induced disorders","Nicotine dependence, chewing tobacco"
F1722,9,F17229,"Nicotine dependence, chewing tobacco, w unsp disorders","Nicotine dependence, chewing tobacco, with unspecified nicotine-induced disorders","Nicotine dependence, chewing tobacco"
F1729,0,F17290,"Nicotine dependence, other tobacco product, uncomplicated","Nicotine dependence, other tobacco product, uncomplicated","Nicotine dependence, other tobacco product"
F1729,1,F17291,"Nicotine dependence, other tobacco product, in remission","Nicotine dependence, other tobacco product, in remission","Nicotine dependence, other tobacco product"
F1729,3,F17293,"Nicotine dependence, other tobacco product, with withdrawal","Nicotine dependence, other tobacco product, with withdrawal","Nicotine dependence, other tobacco product"
F1729,8,F17298,"Nicotine dependence, oth tobacco product, w oth disorders","Nicotine dependence, other tobacco product, with other nicotine-induced disorders","Nicotine dependence, other tobacco product"
F1729,9,F17299,"Nicotine dependence, oth tobacco product, w unsp disorders","Nicotine dependence, other tobacco product, with unspecified nicotine-induced disorders","Nicotine dependence, other tobacco product"
F181,0,F1810,"Inhalant abuse, uncomplicated","Inhalant abuse, uncomplicated","Inhalant abuse"
F181,1,F1811,"Inhalant abuse, in remission","Inhalant abuse, in remission","Inhalant abuse"
F1812,0,F18120,"Inhalant abuse with intoxication, uncomplicated","Inhalant abuse with intoxication, uncomplicated","Inhalant abuse with intoxication"
F1812,1,F18121,"Inhalant abuse with intoxication delirium","Inhalant abuse with intoxication delirium","Inhalant abuse with intoxication"
F1812,9,F18129,"Inhalant abuse with intoxication, unspecified","Inhalant abuse with intoxication, unspecified","Inhalant abuse with intoxication"
F1814,,F1814,"Inhalant abuse with inhalant-induced mood disorder","Inhalant abuse with inhalant-induced mood disorder","Inhalant abuse with inhalant-induced mood disorder"
F1815,0,F18150,"Inhalant abuse w inhalnt-induce psych disorder w delusions","Inhalant abuse with inhalant-induced psychotic disorder with delusions","Inhalant abuse with inhalant-induced psychotic disorder"
F1815,1,F18151,"Inhalant abuse w inhalnt-induce psych disorder w hallucin","Inhalant abuse with inhalant-induced psychotic disorder with hallucinations","Inhalant abuse with inhalant-induced psychotic disorder"
F1815,9,F18159,"Inhalant abuse w inhalant-induced psychotic disorder, unsp","Inhalant abuse with inhalant-induced psychotic disorder, unspecified","Inhalant abuse with inhalant-induced psychotic disorder"
F1817,,F1817,"Inhalant abuse with inhalant-induced dementia","Inhalant abuse with inhalant-induced dementia","Inhalant abuse with inhalant-induced dementia"
F1818,0,F18180,"Inhalant abuse with inhalant-induced anxiety disorder","Inhalant abuse with inhalant-induced anxiety disorder","Inhalant abuse with other inhalant-induced disorders"
F1818,8,F18188,"Inhalant abuse with other inhalant-induced disorder","Inhalant abuse with other inhalant-induced disorder","Inhalant abuse with other inhalant-induced disorders"
F1819,,F1819,"Inhalant abuse with unspecified inhalant-induced disorder","Inhalant abuse with unspecified inhalant-induced disorder","Inhalant abuse with unspecified inhalant-induced disorder"
F182,0,F1820,"Inhalant dependence, uncomplicated","Inhalant dependence, uncomplicated","Inhalant dependence"
F182,1,F1821,"Inhalant dependence, in remission","Inhalant dependence, in remission","Inhalant dependence"
F1822,0,F18220,"Inhalant dependence with intoxication, uncomplicated","Inhalant dependence with intoxication, uncomplicated","Inhalant dependence with intoxication"
F1822,1,F18221,"Inhalant dependence with intoxication delirium","Inhalant dependence with intoxication delirium","Inhalant dependence with intoxication"
F1822,9,F18229,"Inhalant dependence with intoxication, unspecified","Inhalant dependence with intoxication, unspecified","Inhalant dependence with intoxication"
F1824,,F1824,"Inhalant dependence with inhalant-induced mood disorder","Inhalant dependence with inhalant-induced mood disorder","Inhalant dependence with inhalant-induced mood disorder"
F1825,0,F18250,"Inhalant depend w inhalnt-induce psych disorder w delusions","Inhalant dependence with inhalant-induced psychotic disorder with delusions","Inhalant dependence with inhalant-induced psychotic disorder"
F1825,1,F18251,"Inhalant depend w inhalnt-induce psych disorder w hallucin","Inhalant dependence with inhalant-induced psychotic disorder with hallucinations","Inhalant dependence with inhalant-induced psychotic disorder"
F1825,9,F18259,"Inhalant depend w inhalnt-induce psychotic disorder, unsp","Inhalant dependence with inhalant-induced psychotic disorder, unspecified","Inhalant dependence with inhalant-induced psychotic disorder"
F1827,,F1827,"Inhalant dependence with inhalant-induced dementia","Inhalant dependence with inhalant-induced dementia","Inhalant dependence with inhalant-induced dementia"
F1828,0,F18280,"Inhalant dependence with inhalant-induced anxiety disorder","Inhalant dependence with inhalant-induced anxiety disorder","Inhalant dependence with other inhalant-induced disorders"
F1828,8,F18288,"Inhalant dependence with other inhalant-induced disorder","Inhalant dependence with other inhalant-induced disorder","Inhalant dependence with other inhalant-induced disorders"
F1829,,F1829,"Inhalant dependence with unsp inhalant-induced disorder","Inhalant dependence with unspecified inhalant-induced disorder","Inhalant dependence with unspecified inhalant-induced disorder"
F189,0,F1890,"Inhalant use, unspecified, uncomplicated","Inhalant use, unspecified, uncomplicated","Inhalant use, unspecified"
F1892,0,F18920,"Inhalant use, unspecified with intoxication, uncomplicated","Inhalant use, unspecified with intoxication, uncomplicated","Inhalant use, unspecified with intoxication"
F1892,1,F18921,"Inhalant use, unspecified with intoxication with delirium","Inhalant use, unspecified with intoxication with delirium","Inhalant use, unspecified with intoxication"
F1892,9,F18929,"Inhalant use, unspecified with intoxication, unspecified","Inhalant use, unspecified with intoxication, unspecified","Inhalant use, unspecified with intoxication"
F1894,,F1894,"Inhalant use, unsp with inhalant-induced mood disorder","Inhalant use, unspecified with inhalant-induced mood disorder","Inhalant use, unspecified with inhalant-induced mood disorder"
F1895,0,F18950,"Inhalant use, unsp w inhalnt-induce psych disord w delusions","Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions","Inhalant use, unspecified with inhalant-induced psychotic disorder"
F1895,1,F18951,"Inhalant use, unsp w inhalnt-induce psych disord w hallucin","Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations","Inhalant use, unspecified with inhalant-induced psychotic disorder"
F1895,9,F18959,"Inhalant use, unsp w inhalnt-induce psychotic disorder, unsp","Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified","Inhalant use, unspecified with inhalant-induced psychotic disorder"
F1897,,F1897,"Inhalant use, unsp with inhalant-induced persisting dementia","Inhalant use, unspecified with inhalant-induced persisting dementia","Inhalant use, unspecified with inhalant-induced persisting dementia"
F1898,0,F18980,"Inhalant use, unsp with inhalant-induced anxiety disorder","Inhalant use, unspecified with inhalant-induced anxiety disorder","Inhalant use, unspecified with other inhalant-induced disorders"
F1898,8,F18988,"Inhalant use, unsp with other inhalant-induced disorder","Inhalant use, unspecified with other inhalant-induced disorder","Inhalant use, unspecified with other inhalant-induced disorders"
F1899,,F1899,"Inhalant use, unsp with unsp inhalant-induced disorder","Inhalant use, unspecified with unspecified inhalant-induced disorder","Inhalant use, unspecified with unspecified inhalant-induced disorder"
F191,0,F1910,"Other psychoactive substance abuse, uncomplicated","Other psychoactive substance abuse, uncomplicated","Other psychoactive substance abuse"
F191,1,F1911,"Other psychoactive substance abuse, in remission","Other psychoactive substance abuse, in remission","Other psychoactive substance abuse"
F1912,0,F19120,"Oth psychoactive substance abuse w intoxication, uncomp","Other psychoactive substance abuse with intoxication, uncomplicated","Other psychoactive substance abuse with intoxication"
F1912,1,F19121,"Oth psychoactive substance abuse with intoxication delirium","Other psychoactive substance abuse with intoxication delirium","Other psychoactive substance abuse with intoxication"
F1912,2,F19122,"Oth psychoactv substance abuse w intox w perceptual disturb","Other psychoactive substance abuse with intoxication with perceptual disturbances","Other psychoactive substance abuse with intoxication"
F1912,9,F19129,"Other psychoactive substance abuse with intoxication, unsp","Other psychoactive substance abuse with intoxication, unspecified","Other psychoactive substance abuse with intoxication"
F1914,,F1914,"Oth psychoactive substance abuse w mood disorder","Other psychoactive substance abuse with psychoactive substance-induced mood disorder","Other psychoactive substance abuse with psychoactive substance-induced mood disorder"
F1915,0,F19150,"Oth psychoactv substance abuse w psych disorder w delusions","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder"
F1915,1,F19151,"Oth psychoactv substance abuse w psych disorder w hallucin","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder"
F1915,9,F19159,"Oth psychoactive substance abuse w psychotic disorder, unsp","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder"
F1916,,F1916,"Oth psychoactv substance abuse w persist amnestic disorder","Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder","Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder"
F1917,,F1917,"Oth psychoactive substance abuse w persisting dementia","Other psychoactive substance abuse with psychoactive substance-induced persisting dementia","Other psychoactive substance abuse with psychoactive substance-induced persisting dementia"
F1918,0,F19180,"Oth psychoactive substance abuse w anxiety disorder","Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder","Other psychoactive substance abuse with other psychoactive substance-induced disorders"
F1918,1,F19181,"Oth psychoactive substance abuse w sexual dysfunction","Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction","Other psychoactive substance abuse with other psychoactive substance-induced disorders"
F1918,2,F19182,"Oth psychoactive substance abuse w sleep disorder","Other psychoactive substance abuse with psychoactive substance-induced sleep disorder","Other psychoactive substance abuse with other psychoactive substance-induced disorders"
F1918,8,F19188,"Oth psychoactive substance abuse w oth disorder","Other psychoactive substance abuse with other psychoactive substance-induced disorder","Other psychoactive substance abuse with other psychoactive substance-induced disorders"
F1919,,F1919,"Oth psychoactive substance abuse w unsp disorder","Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder","Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder"
F192,0,F1920,"Other psychoactive substance dependence, uncomplicated","Other psychoactive substance dependence, uncomplicated","Other psychoactive substance dependence"
F192,1,F1921,"Other psychoactive substance dependence, in remission","Other psychoactive substance dependence, in remission","Other psychoactive substance dependence"
F1922,0,F19220,"Oth psychoactive substance dependence w intoxication, uncomp","Other psychoactive substance dependence with intoxication, uncomplicated","Other psychoactive substance dependence with intoxication"
F1922,1,F19221,"Oth psychoactive substance dependence w intox delirium","Other psychoactive substance dependence with intoxication delirium","Other psychoactive substance dependence with intoxication"
F1922,2,F19222,"Oth psychoactv substance depend w intox w perceptual disturb","Other psychoactive substance dependence with intoxication with perceptual disturbance","Other psychoactive substance dependence with intoxication"
F1922,9,F19229,"Oth psychoactive substance dependence w intoxication, unsp","Other psychoactive substance dependence with intoxication, unspecified","Other psychoactive substance dependence with intoxication"
F1923,0,F19230,"Oth psychoactive substance dependence w withdrawal, uncomp","Other psychoactive substance dependence with withdrawal, uncomplicated","Other psychoactive substance dependence with withdrawal"
F1923,1,F19231,"Oth psychoactive substance dependence w withdrawal delirium","Other psychoactive substance dependence with withdrawal delirium","Other psychoactive substance dependence with withdrawal"
F1923,2,F19232,"Oth psychoactv sub depend w w/drawal w perceptl disturb","Other psychoactive substance dependence with withdrawal with perceptual disturbance","Other psychoactive substance dependence with withdrawal"
F1923,9,F19239,"Oth psychoactive substance dependence with withdrawal, unsp","Other psychoactive substance dependence with withdrawal, unspecified","Other psychoactive substance dependence with withdrawal"
F1924,,F1924,"Oth psychoactive substance dependence w mood disorder","Other psychoactive substance dependence with psychoactive substance-induced mood disorder","Other psychoactive substance dependence with psychoactive substance-induced mood disorder"
F1925,0,F19250,"Oth psychoactv substance depend w psych disorder w delusions","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder"
F1925,1,F19251,"Oth psychoactv substance depend w psych disorder w hallucin","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder"
F1925,9,F19259,"Oth psychoactv substance depend w psychotic disorder, unsp","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder"
F1926,,F1926,"Oth psychoactv substance depend w persist amnestic disorder","Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder","Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder"
F1927,,F1927,"Oth psychoactive substance dependence w persisting dementia","Other psychoactive substance dependence with psychoactive substance-induced persisting dementia","Other psychoactive substance dependence with psychoactive substance-induced persisting dementia"
F1928,0,F19280,"Oth psychoactive substance dependence w anxiety disorder","Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder","Other psychoactive substance dependence with other psychoactive substance-induced disorders"
F1928,1,F19281,"Oth psychoactive substance dependence w sexual dysfunction","Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction","Other psychoactive substance dependence with other psychoactive substance-induced disorders"
F1928,2,F19282,"Oth psychoactive substance dependence w sleep disorder","Other psychoactive substance dependence with psychoactive substance-induced sleep disorder","Other psychoactive substance dependence with other psychoactive substance-induced disorders"
F1928,8,F19288,"Oth psychoactive substance dependence w oth disorder","Other psychoactive substance dependence with other psychoactive substance-induced disorder","Other psychoactive substance dependence with other psychoactive substance-induced disorders"
F1929,,F1929,"Oth psychoactive substance dependence w unsp disorder","Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder","Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder"
F199,0,F1990,"Other psychoactive substance use, unspecified, uncomplicated","Other psychoactive substance use, unspecified, uncomplicated","Other psychoactive substance use, unspecified"
F1992,0,F19920,"Oth psychoactive substance use, unsp w intoxication, uncomp","Other psychoactive substance use, unspecified with intoxication, uncomplicated","Other psychoactive substance use, unspecified with intoxication"
F1992,1,F19921,"Oth psychoactive substance use, unsp w intox w delirium","Other psychoactive substance use, unspecified with intoxication with delirium","Other psychoactive substance use, unspecified with intoxication"
F1992,2,F19922,"Oth psychoactv sub use, unsp w intox w perceptl disturb","Other psychoactive substance use, unspecified with intoxication with perceptual disturbance","Other psychoactive substance use, unspecified with intoxication"
F1992,9,F19929,"Oth psychoactive substance use, unsp with intoxication, unsp","Other psychoactive substance use, unspecified with intoxication, unspecified","Other psychoactive substance use, unspecified with intoxication"
F1993,0,F19930,"Oth psychoactive substance use, unsp w withdrawal, uncomp","Other psychoactive substance use, unspecified with withdrawal, uncomplicated","Other psychoactive substance use, unspecified with withdrawal"
F1993,1,F19931,"Oth psychoactive substance use, unsp w withdrawal delirium","Other psychoactive substance use, unspecified with withdrawal delirium","Other psychoactive substance use, unspecified with withdrawal"
F1993,2,F19932,"Oth psychoactv sub use, unsp w w/drawal w perceptl disturb","Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance","Other psychoactive substance use, unspecified with withdrawal"
F1993,9,F19939,"Other psychoactive substance use, unsp with withdrawal, unsp","Other psychoactive substance use, unspecified with withdrawal, unspecified","Other psychoactive substance use, unspecified with withdrawal"
F1994,,F1994,"Oth psychoactive substance use, unsp w mood disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
F1995,0,F19950,"Oth psychoactv sub use, unsp w psych disorder w delusions","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder"
F1995,1,F19951,"Oth psychoactv sub use, unsp w psych disorder w hallucin","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder"
F1995,9,F19959,"Oth psychoactv substance use, unsp w psych disorder, unsp","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder"
F1996,,F1996,"Oth psychoactv sub use, unsp w persist amnestic disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder"
F1997,,F1997,"Oth psychoactive substance use, unsp w persisting dementia","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia"
F1998,0,F19980,"Oth psychoactive substance use, unsp w anxiety disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorders"
F1998,1,F19981,"Oth psychoactive substance use, unsp w sexual dysfunction","Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorders"
F1998,2,F19982,"Oth psychoactive substance use, unsp w sleep disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorders"
F1998,8,F19988,"Oth psychoactive substance use, unsp w oth disorder","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorders"
F1999,,F1999,"Oth psychoactive substance use, unsp w unsp disorder","Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder","Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
F20,0,F200,"Paranoid schizophrenia","Paranoid schizophrenia","Schizophrenia"
F20,1,F201,"Disorganized schizophrenia","Disorganized schizophrenia","Schizophrenia"
F20,2,F202,"Catatonic schizophrenia","Catatonic schizophrenia","Schizophrenia"
F20,3,F203,"Undifferentiated schizophrenia","Undifferentiated schizophrenia","Schizophrenia"
F20,5,F205,"Residual schizophrenia","Residual schizophrenia","Schizophrenia"
F208,1,F2081,"Schizophreniform disorder","Schizophreniform disorder","Other schizophrenia"
F208,9,F2089,"Other schizophrenia","Other schizophrenia","Other schizophrenia"
F209,,F209,"Schizophrenia, unspecified","Schizophrenia, unspecified","Schizophrenia, unspecified"
F21,,F21,"Schizotypal disorder","Schizotypal disorder","Schizotypal disorder"
F22,,F22,"Delusional disorders","Delusional disorders","Delusional disorders"
F23,,F23,"Brief psychotic disorder","Brief psychotic disorder","Brief psychotic disorder"
F24,,F24,"Shared psychotic disorder","Shared psychotic disorder","Shared psychotic disorder"
F25,0,F250,"Schizoaffective disorder, bipolar type","Schizoaffective disorder, bipolar type","Schizoaffective disorders"
F25,1,F251,"Schizoaffective disorder, depressive type","Schizoaffective disorder, depressive type","Schizoaffective disorders"
F25,8,F258,"Other schizoaffective disorders","Other schizoaffective disorders","Schizoaffective disorders"
F25,9,F259,"Schizoaffective disorder, unspecified","Schizoaffective disorder, unspecified","Schizoaffective disorders"
F28,,F28,"Oth psych disorder not due to a sub or known physiol cond","Other psychotic disorder not due to a substance or known physiological condition","Other psychotic disorder not due to a substance or known physiological condition"
F29,,F29,"Unsp psychosis not due to a substance or known physiol cond","Unspecified psychosis not due to a substance or known physiological condition","Unspecified psychosis not due to a substance or known physiological condition"
F301,0,F3010,"Manic episode without psychotic symptoms, unspecified","Manic episode without psychotic symptoms, unspecified","Manic episode without psychotic symptoms"
F301,1,F3011,"Manic episode without psychotic symptoms, mild","Manic episode without psychotic symptoms, mild","Manic episode without psychotic symptoms"
F301,2,F3012,"Manic episode without psychotic symptoms, moderate","Manic episode without psychotic symptoms, moderate","Manic episode without psychotic symptoms"
F301,3,F3013,"Manic episode, severe, without psychotic symptoms","Manic episode, severe, without psychotic symptoms","Manic episode without psychotic symptoms"
F302,,F302,"Manic episode, severe with psychotic symptoms","Manic episode, severe with psychotic symptoms","Manic episode, severe with psychotic symptoms"
F303,,F303,"Manic episode in partial remission","Manic episode in partial remission","Manic episode in partial remission"
F304,,F304,"Manic episode in full remission","Manic episode in full remission","Manic episode in full remission"
F308,,F308,"Other manic episodes","Other manic episodes","Other manic episodes"
F309,,F309,"Manic episode, unspecified","Manic episode, unspecified","Manic episode, unspecified"
F31,0,F310,"Bipolar disorder, current episode hypomanic","Bipolar disorder, current episode hypomanic","Bipolar disorder"
F311,0,F3110,"Bipolar disord, crnt episode manic w/o psych features, unsp","Bipolar disorder, current episode manic without psychotic features, unspecified","Bipolar disorder, current episode manic without psychotic features"
F311,1,F3111,"Bipolar disord, crnt episode manic w/o psych features, mild","Bipolar disorder, current episode manic without psychotic features, mild","Bipolar disorder, current episode manic without psychotic features"
F311,2,F3112,"Bipolar disord, crnt episode manic w/o psych features, mod","Bipolar disorder, current episode manic without psychotic features, moderate","Bipolar disorder, current episode manic without psychotic features"
F311,3,F3113,"Bipolar disord, crnt epsd manic w/o psych features, severe","Bipolar disorder, current episode manic without psychotic features, severe","Bipolar disorder, current episode manic without psychotic features"
F312,,F312,"Bipolar disord, crnt episode manic severe w psych features","Bipolar disorder, current episode manic severe with psychotic features","Bipolar disorder, current episode manic severe with psychotic features"
F313,0,F3130,"Bipolar disord, crnt epsd depress, mild or mod severt, unsp","Bipolar disorder, current episode depressed, mild or moderate severity, unspecified","Bipolar disorder, current episode depressed, mild or moderate severity"
F313,1,F3131,"Bipolar disorder, current episode depressed, mild","Bipolar disorder, current episode depressed, mild","Bipolar disorder, current episode depressed, mild or moderate severity"
F313,2,F3132,"Bipolar disorder, current episode depressed, moderate","Bipolar disorder, current episode depressed, moderate","Bipolar disorder, current episode depressed, mild or moderate severity"
F314,,F314,"Bipolar disord, crnt epsd depress, sev, w/o psych features","Bipolar disorder, current episode depressed, severe, without psychotic features","Bipolar disorder, current episode depressed, severe, without psychotic features"
F315,,F315,"Bipolar disord, crnt epsd depress, severe, w psych features","Bipolar disorder, current episode depressed, severe, with psychotic features","Bipolar disorder, current episode depressed, severe, with psychotic features"
F316,0,F3160,"Bipolar disorder, current episode mixed, unspecified","Bipolar disorder, current episode mixed, unspecified","Bipolar disorder, current episode mixed"
F316,1,F3161,"Bipolar disorder, current episode mixed, mild","Bipolar disorder, current episode mixed, mild","Bipolar disorder, current episode mixed"
F316,2,F3162,"Bipolar disorder, current episode mixed, moderate","Bipolar disorder, current episode mixed, moderate","Bipolar disorder, current episode mixed"
F316,3,F3163,"Bipolar disord, crnt epsd mixed, severe, w/o psych features","Bipolar disorder, current episode mixed, severe, without psychotic features","Bipolar disorder, current episode mixed"
F316,4,F3164,"Bipolar disord, crnt episode mixed, severe, w psych features","Bipolar disorder, current episode mixed, severe, with psychotic features","Bipolar disorder, current episode mixed"
F317,0,F3170,"Bipolar disord, currently in remis, most recent episode unsp","Bipolar disorder, currently in remission, most recent episode unspecified","Bipolar disorder, currently in remission"
F317,1,F3171,"Bipolar disord, in partial remis, most recent epsd hypomanic","Bipolar disorder, in partial remission, most recent episode hypomanic","Bipolar disorder, currently in remission"
F317,2,F3172,"Bipolar disord, in full remis, most recent episode hypomanic","Bipolar disorder, in full remission, most recent episode hypomanic","Bipolar disorder, currently in remission"
F317,3,F3173,"Bipolar disord, in partial remis, most recent episode manic","Bipolar disorder, in partial remission, most recent episode manic","Bipolar disorder, currently in remission"
F317,4,F3174,"Bipolar disorder, in full remis, most recent episode manic","Bipolar disorder, in full remission, most recent episode manic","Bipolar disorder, currently in remission"
F317,5,F3175,"Bipolar disord, in partial remis, most recent epsd depress","Bipolar disorder, in partial remission, most recent episode depressed","Bipolar disorder, currently in remission"
F317,6,F3176,"Bipolar disorder, in full remis, most recent episode depress","Bipolar disorder, in full remission, most recent episode depressed","Bipolar disorder, currently in remission"
F317,7,F3177,"Bipolar disord, in partial remis, most recent episode mixed","Bipolar disorder, in partial remission, most recent episode mixed","Bipolar disorder, currently in remission"
F317,8,F3178,"Bipolar disorder, in full remis, most recent episode mixed","Bipolar disorder, in full remission, most recent episode mixed","Bipolar disorder, currently in remission"
F318,1,F3181,"Bipolar II disorder","Bipolar II disorder","Other bipolar disorders"
F318,9,F3189,"Other bipolar disorder","Other bipolar disorder","Other bipolar disorders"
F319,,F319,"Bipolar disorder, unspecified","Bipolar disorder, unspecified","Bipolar disorder, unspecified"
F32,0,F320,"Major depressive disorder, single episode, mild","Major depressive disorder, single episode, mild","Major depressive disorder, single episode"
F32,1,F321,"Major depressive disorder, single episode, moderate","Major depressive disorder, single episode, moderate","Major depressive disorder, single episode"
F32,2,F322,"Major depressv disord, single epsd, sev w/o psych features","Major depressive disorder, single episode, severe without psychotic features","Major depressive disorder, single episode"
F32,3,F323,"Major depressv disord, single epsd, severe w psych features","Major depressive disorder, single episode, severe with psychotic features","Major depressive disorder, single episode"
F32,4,F324,"Major depressv disorder, single episode, in partial remis","Major depressive disorder, single episode, in partial remission","Major depressive disorder, single episode"
F32,5,F325,"Major depressive disorder, single episode, in full remission","Major depressive disorder, single episode, in full remission","Major depressive disorder, single episode"
F328,1,F3281,"Premenstrual dysphoric disorder","Premenstrual dysphoric disorder","Other depressive episodes"
F328,9,F3289,"Other specified depressive episodes","Other specified depressive episodes","Other depressive episodes"
F329,,F329,"Major depressive disorder, single episode, unspecified","Major depressive disorder, single episode, unspecified","Major depressive disorder, single episode, unspecified"
F33,0,F330,"Major depressive disorder, recurrent, mild","Major depressive disorder, recurrent, mild","Major depressive disorder, recurrent"
F33,1,F331,"Major depressive disorder, recurrent, moderate","Major depressive disorder, recurrent, moderate","Major depressive disorder, recurrent"
F33,2,F332,"Major depressv disorder, recurrent severe w/o psych features","Major depressive disorder, recurrent severe without psychotic features","Major depressive disorder, recurrent"
F33,3,F333,"Major depressv disorder, recurrent, severe w psych symptoms","Major depressive disorder, recurrent, severe with psychotic symptoms","Major depressive disorder, recurrent"
F334,0,F3340,"Major depressive disorder, recurrent, in remission, unsp","Major depressive disorder, recurrent, in remission, unspecified","Major depressive disorder, recurrent, in remission"
